Epoch;Clock_bias
2011.0;-68160.94
2011.001488095238;-68164.546
2011.0029761904761;-68168.051
2011.0044642857142;-68171.575
2011.0059523809523;-68175.106
2011.0074404761904;-68178.609
2011.0089285714284;-68182.166
2011.0104166666665;-68185.626
2011.0119047619048;-68189.08399999999
2011.013392857143;-68192.632
2011.014880952381;-68196.179
2011.016369047619;-68199.659
2011.017857142857;-68203.058
2011.0193452380952;-68206.47
2011.0208333333333;-68209.90999999999
2011.0223214285713;-68213.321
2011.0238095238096;-68216.739
2011.0252976190477;-68220.124
2011.0267857142858;-68223.51999999999
2011.0282738095239;-68226.937
2011.029761904762;-68230.413
2011.03125;-68233.907
2011.032738095238;-68237.4
2011.0342261904761;-68240.89600000001
2011.0357142857142;-68244.378
2011.0372023809523;-68247.817
2011.0386904761904;-68251.30500000001
2011.0401785714284;-68254.841
2011.0416666666667;-68258.342
2011.0431547619048;-68261.801
2011.044642857143;-68265.298
2011.046130952381;-68268.79
2011.047619047619;-68272.286
2011.049107142857;-68275.651
2011.0505952380952;-68279.16500000001
2011.0520833333333;-68282.71100000001
2011.0535714285713;-68286.191
2011.0550595238094;-68289.679
2011.0565476190475;-68293.245
2011.0580357142856;-68296.97
2011.0595238095239;-68300.554
2011.061011904762;-68304.09899999999
2011.0625;-68307.666
2011.063988095238;-68311.184
2011.0654761904761;-68314.743
2011.0669642857142;-68318.297
2011.0684523809523;-68321.82
2011.0699404761904;-68325.383
2011.0714285714287;-68328.902
2011.0729166666667;-68332.408
2011.0744047619048;-68335.958
2011.075892857143;-68339.489
2011.077380952381;-68343.016
2011.078869047619;-68346.565
2011.080357142857;-68350.046
2011.0818452380952;-68353.498
2011.0833333333333;-68356.966
2011.0848214285713;-68360.45
2011.0863095238094;-68363.841
2011.0877976190475;-68367.277
2011.0892857142858;-68370.79
2011.0907738095239;-68374.229
2011.092261904762;-68377.646
2011.09375;-68381.177
2011.095238095238;-68384.527
2011.0967261904761;-68387.94
2011.0982142857142;-68391.43
2011.0997023809523;-68394.925
2011.1011904761904;-68398.41
2011.1026785714284;-68401.927
2011.1041666666665;-68405.40400000001
2011.1056547619046;-68408.858
2011.107142857143;-68412.312
2011.108630952381;-68415.76000000001
2011.110119047619;-68419.17599999999
2011.111607142857;-68422.613
2011.1130952380952;-68426.074
2011.1145833333333;-68429.505
2011.1160714285713;-68432.96399999999
2011.1175595238094;-68436.29699999999
2011.1190476190477;-68439.652
2011.1205357142858;-68443.151
2011.1220238095239;-68446.568
2011.123511904762;-68450.075
2011.125;-68453.474
2011.126488095238;-68456.89199999999
2011.1279761904761;-68460.38
2011.1294642857142;-68463.905
2011.1309523809523;-68467.31599999999
2011.1324404761904;-68470.956
2011.1339285714284;-68474.549
2011.1354166666665;-68478.094
2011.1369047619048;-68481.799
2011.138392857143;-68485.46299999999
2011.139880952381;-68488.98300000001
2011.141369047619;-68492.564
