Epoch;Clock_bias
2008.0;19499.452
2008.001488095238;19498.188
2008.0029761904761;19496.881999999998
2008.0044642857142;19495.757999999998
2008.0059523809523;19494.548000000003
2008.0074404761904;19493.019
2008.0089285714284;19491.908
2008.0104166666665;19490.409
2008.0119047619048;19489.006
2008.013392857143;19487.652000000002
2008.014880952381;19486.5
2008.016369047619;19485.043999999998
2008.017857142857;19483.852
2008.0193452380952;19482.563
2008.0208333333333;19481.272
2008.0223214285713;19480.167
2008.0238095238096;19478.96
2008.0252976190477;19477.754
2008.0267857142858;19476.334000000003
2008.0282738095239;19475.216
2008.029761904762;19474.01
2008.03125;19472.44
2008.032738095238;19470.975
2008.0342261904761;19469.509
2008.0357142857142;19468.193
2008.0372023809523;19466.987
2008.0386904761904;19465.548
2008.0401785714284;19464.012
2008.0416666666667;19462.851000000002
2008.0431547619048;19461.489
2008.044642857143;19460.287999999997
2008.046130952381;19458.929
2008.047619047619;19457.564000000002
2008.049107142857;19456.302
2008.0505952380952;19454.951999999997
2008.0520833333333;19453.911
2008.0535714285713;19452.424
2008.0550595238094;19450.982
2008.0565476190475;19449.891
2008.0580357142856;19448.485
2008.0595238095239;19447.222
2008.061011904762;19446.034
2008.0625;19444.704
2008.063988095238;19443.513
2008.0654761904761;19442.528
2008.0669642857142;19441.589
2008.0684523809523;19440.134000000002
2008.0699404761904;19438.824
2008.0714285714287;19437.721
2008.0729166666667;19436.575999999997
2008.0744047619048;19435.216
2008.075892857143;19433.975
2008.077380952381;19433.009
2008.078869047619;19431.566
2008.080357142857;19430.068
2008.0818452380952;19428.685
2008.0833333333333;19427.436
2008.0848214285713;19425.925
2008.0863095238094;19424.486
2008.0877976190475;19423.22
2008.0892857142858;19421.904000000002
2008.0907738095239;19420.703
2008.092261904762;19419.439000000002
2008.09375;19418.499
2008.095238095238;19417.135
2008.0967261904761;19415.943
2008.0982142857142;19414.565
2008.0997023809523;19413.379
2008.1011904761904;19411.804
2008.1026785714284;19410.583
2008.1041666666665;19409.341
2008.1056547619046;19407.967
2008.107142857143;19406.628
2008.108630952381;19405.142
2008.110119047619;19403.89
2008.111607142857;19402.473
2008.1130952380952;19401.206
2008.1145833333333;19399.702999999998
2008.1160714285713;19398.745000000003
2008.1175595238094;19397.245000000003
2008.1190476190477;19395.865
2008.1205357142858;19394.740999999998
2008.1220238095239;19393.303
2008.123511904762;19392.106
2008.125;19390.623000000003
2008.126488095238;19389.623
2008.1279761904761;19388.065000000002
2008.1294642857142;19386.970999999998
2008.1309523809523;19386.039
2008.1324404761904;19384.588
2008.1339285714284;19383.529
2008.1354166666665;19382.609
2008.1369047619048;19381.27
2008.138392857143;19380.123
2008.139880952381;19378.868000000002
2008.141369047619;19377.59
2008.142857142857;19376.198
2008.1443452380952;19374.784
2008.1458333333333;19373.736
2008.1473214285713;19372.357
2008.1488095238094;19371.003
2008.1502976190475;19369.768
2008.1517857142856;19368.516
2008.1532738095236;19367.149999999998
